// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing

//<3129> Hinata mark II
<3129> Hinata mark II

//<3130> Dung Beetle
<3130> Dung Beetle

//<3131> Mass Produced Hinata
<3131> Mass Produced Hinata

//<3132> ？？
<3132> ？？

//<3133> 「ああ」
<3133> 「ああ」

//<3134> Otonashi
<3134> Otonashi

//<3135> クソ坊主
<3135> クソ坊主

//<3136> 代理人
<3136> 代理人

//<3137> 微妙すぎるイケメン
<3137> 微妙すぎるイケメン

//<3138> ロリコン
<3138> ロリコン

//<3139> メガネ仲間
<3139> メガネ仲間

//<3140> 暗算日本記録保持者
<3140> 暗算日本記録保持者

//<3141> 通り魔
<3141> 通り魔

//<3142> 記憶ナシ男
<3142> 記憶ナシ男

//<3143> 音速
<3143> 音速

//<3144> 無限
<3144> 無限

//<3145> Horny Samurai
<3145> Horny Samurai

//<3146> Super Horny Squad Member 1
<3146> Super Horny Squad Member 1

//<3147> Horny Boy
<3147> Horny Boy

//<3148> Ugly Yuri
<3148> Ugly Yuri

//<3149> Depussy
<3149> Depussy

//<3150> Perverted American Dog
<3150> Perverted American Dog

//<3151> Zeus
<3151> Zeus

//<3152> Hinata mark II
<3152> Hinata mark II

//<3153> Dung Beetle
<3153> Dung Beetle

//<3154> Mass Produced Hinata
<3154> Mass Produced Hinata

//<3155> ？？
<3155> ？？

//<3156> 「いや…そんな言葉で騙されねーぜ…」
<3156> 「いや…そんな言葉で騙されねーぜ…」

//<3157> nothing
<3157> nothing

//<3158> nothing
<3158> nothing

//<3159> nothing
<3159> nothing

//<3160> nothing
<3160> nothing

//<3161> 高松
<3161> 高松

//<3162> 「新米にしては、賢明な判断です」
<3162> 「新米にしては、賢明な判断です」

//<3163> nothing
<3163> nothing

//<3164> nothing
<3164> nothing

//<3165> nothing
<3165> nothing

//<3166> nothing
<3166> nothing

//<3167> nothing
<3167> nothing

//<3168> Hinata
<3168> Hinata

//<3169> 男Ｂ
<3169> 男Ｂ

//<3170> Super Horny Squad Leader
<3170> Super Horny Squad Leader

//<3171> Handsome-chin
<3171> Handsome-chin

//<3172> Homota
<3172> Homota

//<3173> Hina-chin
<3173> Hina-chin

//<3174> Hideki
<3174> Hideki

//<3175> 男子生徒
<3175> 男子生徒

//<3176> ？？
<3176> ？？

//<3177> 「えぇー!?　俺の言葉は信じてくれねーのっ!?」
<3177> 「えぇー!?　俺の言葉は信じてくれねーのっ!?」

//<3178> nothing
<3178> nothing

//<3179> nothing
<3179> nothing

//<3180> nothing
<3180> nothing

//<3181> nothing
<3181> nothing

//<3182> nothing
<3182> nothing

//<3183> 高松
<3183> 高松

//<3184> 「私が戦線に参加してから、あなたの浮ついた話は一度も聞いたことがありません」
<3184> 「私が戦線に参加してから、あなたの浮ついた話は一度も聞いたことがありません」

//<3185> nothing
<3185> nothing

//<3186> nothing
<3186> nothing

//<3187> nothing
<3187> nothing

//<3188> nothing
<3188> nothing

//<3189> nothing
<3189> nothing

//<3190> 高松
<3190> 高松

//<3191> 「ゆりっぺさんを始め、椎名さんにガルデモメンバー、綺麗どころはたくさん居るのにです」
<3191> 「ゆりっぺさんを始め、椎名さんにガルデモメンバー、綺麗どころはたくさん居るのにです」

//<3192> nothing
<3192> nothing

//<3193> nothing
<3193> nothing

//<3194> nothing
<3194> nothing

//<3195> nothing
<3195> nothing

//<3196> nothing
<3196> nothing

//<3197> Hinata
<3197> Hinata

//<3198> 男Ｂ
<3198> 男Ｂ

//<3199> Super Horny Squad Leader
<3199> Super Horny Squad Leader

//<3200> Handsome-chin
<3200> Handsome-chin

//<3201> Homota
<3201> Homota

//<3202> Hina-chin
<3202> Hina-chin

//<3203> Hideki
<3203> Hideki

//<3204> 男子生徒
<3204> 男子生徒

//<3205> ？？
<3205> ？？

//<3206> 「好みじゃないだけだよっ!!」
<3206> 「好みじゃないだけだよっ!!」

//<3207> nothing
<3207> nothing

//<3208> nothing
<3208> nothing

//<3209> nothing
<3209> nothing

//<3210> nothing
<3210> nothing

//<3211> nothing
<3211> nothing

//<3212> 高松
<3212> 高松

//<3213> 「ほぅ…」
<3213> 「ほぅ…」

//<3214> nothing
<3214> nothing

//<3215> nothing
<3215> nothing

//<3216> nothing
<3216> nothing

//<3217> nothing
<3217> nothing

//<3218> nothing
<3218> nothing

//<3219> 高松
<3219> 高松

//<3220> 「まあいいでしょう。今は納得しておきます」
<3220> 「まあいいでしょう。今は納得しておきます」

//<3221> nothing
<3221> nothing

//<3222> nothing
<3222> nothing

//<3223> nothing
<3223> nothing

//<3224> nothing
<3224> nothing

//<3225> nothing
<3225> nothing

//<3226> 確かにゆりは美人だ…。何十年と一緒に暮らしてきて、邪な気持ちを覚えない。それは不自然な気がした。
<3226> 確かにゆりは美人だ…。何十年と一緒に暮らしてきて、邪な気持ちを覚えない。それは不自然な気がした。

//<3227> nothing
<3227> nothing

//<3228> nothing
<3228> nothing

//<3229> nothing
<3229> nothing

//<3230> nothing
<3230> nothing

//<3231> nothing
<3231> nothing

//<3232> Otonashi
<3232> Otonashi

//<3233> クソ坊主
<3233> クソ坊主

//<3234> 代理人
<3234> 代理人

//<3235> 微妙すぎるイケメン
<3235> 微妙すぎるイケメン

//<3236> ロリコン
<3236> ロリコン

//<3237> メガネ仲間
<3237> メガネ仲間

//<3238> 暗算日本記録保持者
<3238> 暗算日本記録保持者

//<3239> 通り魔
<3239> 通り魔

//<3240> 記憶ナシ男
<3240> 記憶ナシ男

//<3241> 音速
<3241> 音速

//<3242> 無限
<3242> 無限

//<3243> Horny Samurai
<3243> Horny Samurai

//<3244> Super Horny Squad Member 1
<3244> Super Horny Squad Member 1

//<3245> Horny Boy
<3245> Horny Boy

//<3246> Ugly Yuri
<3246> Ugly Yuri

//<3247> Depussy
<3247> Depussy

//<3248> Perverted American Dog
<3248> Perverted American Dog

//<3249> Zeus
<3249> Zeus

//<3250> Hinata mark II
<3250> Hinata mark II

//<3251> Dung Beetle
<3251> Dung Beetle

//<3252> Mass Produced Hinata
<3252> Mass Produced Hinata

//<3253> ？？
<3253> ？？

//<3254> 「やっぱりホモなんだな」
<3254> 「やっぱりホモなんだな」

//<3255> nothing
<3255> nothing

//<3256> nothing
<3256> nothing

//<3257> nothing
<3257> nothing

//<3258> nothing
<3258> nothing

//<3259> nothing
<3259> nothing

//<3260> Hinata
<3260> Hinata

//<3261> 男Ｂ
<3261> 男Ｂ

//<3262> Super Horny Squad Leader
<3262> Super Horny Squad Leader

//<3263> Handsome-chin
<3263> Handsome-chin

//<3264> Homota
<3264> Homota

//<3265> Hina-chin
<3265> Hina-chin

//<3266> Hideki
<3266> Hideki

//<3267> 男子生徒
<3267> 男子生徒

//<3268> ？？
<3268> ？？

//<3269> 「もう、どっちでもいいよっ!!」
<3269> 「もう、どっちでもいいよっ!!」

//<3270> やけっぱちに答えられた。
<3270> やけっぱちに答えられた。

//<3271> nothing
<3271> nothing

//<3272> nothing
<3272> nothing

//<3273> nothing
<3273> nothing

//<3274> nothing
<3274> nothing

//<3275> nothing
<3275> nothing

//<3276> Otonashi
<3276> Otonashi

//<3277> クソ坊主
<3277> クソ坊主

//<3278> 代理人
<3278> 代理人

//<3279> 微妙すぎるイケメン
<3279> 微妙すぎるイケメン

//<3280> ロリコン
<3280> ロリコン

//<3281> メガネ仲間
<3281> メガネ仲間

//<3282> 暗算日本記録保持者
<3282> 暗算日本記録保持者

//<3283> 通り魔
<3283> 通り魔

//<3284> 記憶ナシ男
<3284> 記憶ナシ男

//<3285> 音速
<3285> 音速

//<3286> 無限
<3286> 無限

//<3287> Horny Samurai
<3287> Horny Samurai

//<3288> Super Horny Squad Member 1
<3288> Super Horny Squad Member 1

//<3289> Horny Boy
<3289> Horny Boy

//<3290> Ugly Yuri
<3290> Ugly Yuri

//<3291> Depussy
<3291> Depussy

//<3292> Perverted American Dog
<3292> Perverted American Dog

//<3293> Zeus
<3293> Zeus

//<3294> Hinata mark II
<3294> Hinata mark II

//<3295> Dung Beetle
<3295> Dung Beetle

//<3296> Mass Produced Hinata
<3296> Mass Produced Hinata

//<3297> ？？
<3297> ？？

//<3298> 「Hinata、お前は教えることがすごく上手いな…」
<3298> 「Hinata、お前は教えることがすごく上手いな…」

//<3299> nothing
<3299> nothing

//<3300> nothing
<3300> nothing

//<3301> nothing
<3301> nothing

//<3302> nothing
<3302> nothing

//<3303> nothing
<3303> nothing

//<3304> Hinata
<3304> Hinata

//<3305> 男Ｂ
<3305> 男Ｂ

//<3306> Super Horny Squad Leader
<3306> Super Horny Squad Leader

//<3307> Handsome-chin
<3307> Handsome-chin

//<3308> Homota
<3308> Homota

//<3309> Hina-chin
<3309> Hina-chin

//<3310> Hideki
<3310> Hideki

//<3311> 男子生徒
<3311> 男子生徒

//<3312> ？？
<3312> ？？

//<3313> 「そうか?」
<3313> 「そうか?」

//<3314> Otonashi
<3314> Otonashi

//<3315> クソ坊主
<3315> クソ坊主

//<3316> 代理人
<3316> 代理人

//<3317> 微妙すぎるイケメン
<3317> 微妙すぎるイケメン

//<3318> ロリコン
<3318> ロリコン

//<3319> メガネ仲間
<3319> メガネ仲間

//<3320> 暗算日本記録保持者
<3320> 暗算日本記録保持者

//<3321> 通り魔
<3321> 通り魔

//<3322> 記憶ナシ男
<3322> 記憶ナシ男

//<3323> 音速
<3323> 音速

//<3324> 無限
<3324> 無限

//<3325> Horny Samurai
<3325> Horny Samurai

//<3326> Super Horny Squad Member 1
<3326> Super Horny Squad Member 1

//<3327> Horny Boy
<3327> Horny Boy

//<3328> Ugly Yuri
<3328> Ugly Yuri

//<3329> Depussy
<3329> Depussy

//<3330> Perverted American Dog
<3330> Perverted American Dog

//<3331> Zeus
<3331> Zeus

//<3332> Hinata mark II
<3332> Hinata mark II

//<3333> Dung Beetle
<3333> Dung Beetle

//<3334> Mass Produced Hinata
<3334> Mass Produced Hinata

//<3335> ？？
<3335> ？？

//<3336> 「なんつーか…惚れるぜ…」
<3336> 「なんつーか…惚れるぜ…」

//<3337> nothing
<3337> nothing

//<3338> nothing
<3338> nothing

//<3339> nothing
<3339> nothing

//<3340> nothing
<3340> nothing

//<3341> nothing
<3341> nothing

//<3342> Hinata
<3342> Hinata

//<3343> 男Ｂ
<3343> 男Ｂ

//<3344> Super Horny Squad Leader
<3344> Super Horny Squad Leader

//<3345> Handsome-chin
<3345> Handsome-chin

//<3346> Homota
<3346> Homota

//<3347> Hina-chin
<3347> Hina-chin

//<3348> Hideki
<3348> Hideki

//<3349> 男子生徒
<3349> 男子生徒

//<3350> ？？
<3350> ？？

//<3351> 「これぐらいのことは、他の奴でも出来るぜ?　な、高松」
<3351> 「これぐらいのことは、他の奴でも出来るぜ?　な、高松」

//<3352> 高松
<3352> 高松

//<3353> 「そうですね」
<3353> 「そうですね」

//<3354> nothing
<3354> nothing

//<3355> nothing
<3355> nothing

//<3356> nothing
<3356> nothing

//<3357> nothing
<3357> nothing

//<3358> nothing
<3358> nothing

//<3359> Otonashi
<3359> Otonashi

//<3360> クソ坊主
<3360> クソ坊主

//<3361> 代理人
<3361> 代理人

//<3362> 微妙すぎるイケメン
<3362> 微妙すぎるイケメン

//<3363> ロリコン
<3363> ロリコン

//<3364> メガネ仲間
<3364> メガネ仲間

//<3365> 暗算日本記録保持者
<3365> 暗算日本記録保持者

//<3366> 通り魔
<3366> 通り魔

//<3367> 記憶ナシ男
<3367> 記憶ナシ男

//<3368> 音速
<3368> 音速

//<3369> 無限
<3369> 無限

//<3370> Horny Samurai
<3370> Horny Samurai

//<3371> Super Horny Squad Member 1
<3371> Super Horny Squad Member 1

//<3372> Horny Boy
<3372> Horny Boy

//<3373> Ugly Yuri
<3373> Ugly Yuri

//<3374> Depussy
<3374> Depussy

//<3375> Perverted American Dog
<3375> Perverted American Dog

//<3376> Zeus
<3376> Zeus

//<3377> Hinata mark II
<3377> Hinata mark II

//<3378> Dung Beetle
<3378> Dung Beetle

//<3379> Mass Produced Hinata
<3379> Mass Produced Hinata

//<3380> ？？
<3380> ？？

//<3381> 「いや、お前にしかできない。自信を持ってもいいと思う」
<3381> 「いや、お前にしかできない。自信を持ってもいいと思う」

//<3382> nothing
<3382> nothing

//<3383> nothing
<3383> nothing

//<3384> nothing
<3384> nothing

//<3385> nothing
<3385> nothing

//<3386> nothing
<3386> nothing

//<3387> Hinata
<3387> Hinata

//<3388> 男Ｂ
<3388> 男Ｂ

//<3389> Super Horny Squad Leader
<3389> Super Horny Squad Leader

//<3390> Handsome-chin
<3390> Handsome-chin

//<3391> Homota
<3391> Homota

//<3392> Hina-chin
<3392> Hina-chin

//<3393> Hideki
<3393> Hideki

//<3394> 男子生徒
<3394> 男子生徒

//<3395> ？？
<3395> ？？

//<3396> 「まだ他のメンバーと交流のないうちに、よくそこまで言い切れるな…」
<3396> 「まだ他のメンバーと交流のないうちに、よくそこまで言い切れるな…」

//<3397> Otonashi
<3397> Otonashi

//<3398> クソ坊主
<3398> クソ坊主

//<3399> 代理人
<3399> 代理人

//<3400> 微妙すぎるイケメン
<3400> 微妙すぎるイケメン

//<3401> ロリコン
<3401> ロリコン

//<3402> メガネ仲間
<3402> メガネ仲間

//<3403> 暗算日本記録保持者
<3403> 暗算日本記録保持者

//<3404> 通り魔
<3404> 通り魔

//<3405> 記憶ナシ男
<3405> 記憶ナシ男

//<3406> 音速
<3406> 音速

//<3407> 無限
<3407> 無限

//<3408> Horny Samurai
<3408> Horny Samurai

//<3409> Super Horny Squad Member 1
<3409> Super Horny Squad Member 1

//<3410> Horny Boy
<3410> Horny Boy

//<3411> Ugly Yuri
<3411> Ugly Yuri

//<3412> Depussy
<3412> Depussy

//<3413> Perverted American Dog
<3413> Perverted American Dog

//<3414> Zeus
<3414> Zeus

//<3415> Hinata mark II
<3415> Hinata mark II

//<3416> Dung Beetle
<3416> Dung Beetle

//<3417> Mass Produced Hinata
<3417> Mass Produced Hinata

//<3418> ？？
<3418> ？？

//<3419> (ん?　ちょっと引かれたか…?)
<3419> (ん?　ちょっと引かれたか…?)

//<3420> これ以上は突っ込まないでおこう…。
<3420> これ以上は突っ込まないでおこう…。

//<3421> Otonashi
<3421> Otonashi

//<3422> クソ坊主
<3422> クソ坊主

//<3423> 代理人
<3423> 代理人

//<3424> 微妙すぎるイケメン
<3424> 微妙すぎるイケメン

//<3425> ロリコン
<3425> ロリコン

//<3426> メガネ仲間
<3426> メガネ仲間

//<3427> 暗算日本記録保持者
<3427> 暗算日本記録保持者

//<3428> 通り魔
<3428> 通り魔

//<3429> 記憶ナシ男
<3429> 記憶ナシ男

//<3430> 音速
<3430> 音速

//<3431> 無限
<3431> 無限

//<3432> Horny Samurai
<3432> Horny Samurai

//<3433> Super Horny Squad Member 1
<3433> Super Horny Squad Member 1

//<3434> Horny Boy
<3434> Horny Boy

//<3435> Ugly Yuri
<3435> Ugly Yuri

//<3436> Depussy
<3436> Depussy

//<3437> Perverted American Dog
<3437> Perverted American Dog

//<3438> Zeus
<3438> Zeus

//<3439> Hinata mark II
<3439> Hinata mark II

//<3440> Dung Beetle
<3440> Dung Beetle

//<3441> Mass Produced Hinata
<3441> Mass Produced Hinata

//<3442> ？？
<3442> ？？

//<3443> 「そっか…」
<3443> 「そっか…」

//<3444> se_handgun2_3
<3444> se_handgun2_3

//<3445> 銃の練習を続けた。
<3445> 銃の練習を続けた。

//<3446> nothing
<3446> nothing

//<3447> 
<3447> 

//<3448> 
<3448> 

//<3449> nothing
<3449> nothing

//<3450> nothing
<3450> nothing

//<3451> nothing
<3451> nothing

//<3452> nothing
<3452> nothing

//<3453> nothing
<3453> nothing

//<3454> nothing
<3454> nothing

//<3455> Hinata
<3455> Hinata

//<3456> 男Ｂ
<3456> 男Ｂ

//<3457> Super Horny Squad Leader
<3457> Super Horny Squad Leader

//<3458> Handsome-chin
<3458> Handsome-chin

//<3459> Homota
<3459> Homota

//<3460> Hina-chin
<3460> Hina-chin

//<3461> Hideki
<3461> Hideki

//<3462> 男子生徒
<3462> 男子生徒

//<3463> ？？
<3463> ？？

//<3464> 「そろそろ、夕飯食っとくか」
<3464> 「そろそろ、夕飯食っとくか」

//<3465> Otonashi
<3465> Otonashi

//<3466> クソ坊主
<3466> クソ坊主

//<3467> 代理人
<3467> 代理人

//<3468> 微妙すぎるイケメン
<3468> 微妙すぎるイケメン

//<3469> ロリコン
<3469> ロリコン

//<3470> メガネ仲間
<3470> メガネ仲間

//<3471> 暗算日本記録保持者
<3471> 暗算日本記録保持者

//<3472> 通り魔
<3472> 通り魔

//<3473> 記憶ナシ男
<3473> 記憶ナシ男

//<3474> 音速
<3474> 音速

//<3475> 無限
<3475> 無限

//<3476> Horny Samurai
<3476> Horny Samurai

//<3477> Super Horny Squad Member 1
<3477> Super Horny Squad Member 1

//<3478> Horny Boy
<3478> Horny Boy

//<3479> Ugly Yuri
<3479> Ugly Yuri

//<3480> Depussy
<3480> Depussy

//<3481> Perverted American Dog
<3481> Perverted American Dog

//<3482> Zeus
<3482> Zeus

//<3483> Hinata mark II
<3483> Hinata mark II

//<3484> Dung Beetle
<3484> Dung Beetle

//<3485> Mass Produced Hinata
<3485> Mass Produced Hinata

//<3486> ？？
<3486> ？？

//<3487> 「ああ」
<3487> 「ああ」

//<3488> nothing
<3488> nothing

//<3489> nothing
<3489> nothing

//<3490> nothing
<3490> nothing

//<3491> nothing
<3491> nothing

//<3492> nothing
<3492> nothing

//<3493> Hinata
<3493> Hinata

//<3494> 男Ｂ
<3494> 男Ｂ

//<3495> Super Horny Squad Leader
<3495> Super Horny Squad Leader

//<3496> Handsome-chin
<3496> Handsome-chin

//<3497> Homota
<3497> Homota

//<3498> Hina-chin
<3498> Hina-chin

//<3499> Hideki
<3499> Hideki

//<3500> 男子生徒
<3500> 男子生徒

//<3501> ？？
<3501> ？？

//<3502> 「まず俺から引くな」
<3502> 「まず俺から引くな」

//<3503> nothing
<3503> nothing

//<3504> nothing
<3504> nothing

//<3505> nothing
<3505> nothing

//<3506> nothing
<3506> nothing

//<3507> nothing
<3507> nothing

//<3508> くじ引きのように、ポケットの中をかき混ぜ、食券を取り出す。
<3508> くじ引きのように、ポケットの中をかき混ぜ、食券を取り出す。

//<3509> nothing
<3509> nothing

//<3510> nothing
<3510> nothing

//<3511> nothing
<3511> nothing

//<3512> nothing
<3512> nothing

//<3513> nothing
<3513> nothing

//<3514> Hinata
<3514> Hinata

//<3515> 男Ｂ
<3515> 男Ｂ

//<3516> Super Horny Squad Leader
<3516> Super Horny Squad Leader

//<3517> Handsome-chin
<3517> Handsome-chin

//<3518> Homota
<3518> Homota

//<3519> Hina-chin
<3519> Hina-chin

//<3520> Hideki
<3520> Hideki

//<3521> 男子生徒
<3521> 男子生徒

//<3522> ？？
<3522> ？？

//<3523> 「よし、きたーー!!　すき焼き定食ぅーー!!」
<3523> 「よし、きたーー!!　すき焼き定食ぅーー!!」

//<3524> 実に羨ましい…。
<3524> 実に羨ましい…。

//<3525> nothing
<3525> nothing

//<3526> nothing
<3526> nothing

//<3527> nothing
<3527> nothing

//<3528> nothing
<3528> nothing

//<3529> nothing
<3529> nothing

//<3530> Hinata
<3530> Hinata

//<3531> 男Ｂ
<3531> 男Ｂ

//<3532> Super Horny Squad Leader
<3532> Super Horny Squad Leader

//<3533> Handsome-chin
<3533> Handsome-chin

//<3534> Homota
<3534> Homota

//<3535> Hina-chin
<3535> Hina-chin

//<3536> Hideki
<3536> Hideki

//<3537> 男子生徒
<3537> 男子生徒

//<3538> ？？
<3538> ？？

//<3539> 「次は、お前のな」
<3539> 「次は、お前のな」

//<3540> nothing
<3540> nothing

//<3541> nothing
<3541> nothing

//<3542> nothing
<3542> nothing

//<3543> nothing
<3543> nothing

//<3544> nothing
<3544> nothing

//<3545> またポケットの中をまさぐる。
<3545> またポケットの中をまさぐる。

//<3546> nothing
<3546> nothing

//<3547> nothing
<3547> nothing

//<3548> nothing
<3548> nothing

//<3549> nothing
<3549> nothing

//<3550> nothing
<3550> nothing

//<3551> Hinata
<3551> Hinata

//<3552> 男Ｂ
<3552> 男Ｂ

//<3553> Super Horny Squad Leader
<3553> Super Horny Squad Leader

//<3554> Handsome-chin
<3554> Handsome-chin

//<3555> Homota
<3555> Homota

//<3556> Hina-chin
<3556> Hina-chin

//<3557> Hideki
<3557> Hideki

//<3558> 男子生徒
<3558> 男子生徒

//<3559> ？？
<3559> ？？

//<3560> 「ほいっと、トムヤムカレー!」
<3560> 「ほいっと、トムヤムカレー!」

//<3561> nothing
<3561> nothing

//<3562> nothing
<3562> nothing

//<3563> nothing
<3563> nothing

//<3564> nothing
<3564> nothing

//<3565> nothing
<3565> nothing

//<3566> 食券を渡される。
<3566> 食券を渡される。

//<3567> Otonashi
<3567> Otonashi

//<3568> クソ坊主
<3568> クソ坊主

//<3569> 代理人
<3569> 代理人

//<3570> 微妙すぎるイケメン
<3570> 微妙すぎるイケメン

//<3571> ロリコン
<3571> ロリコン

//<3572> メガネ仲間
<3572> メガネ仲間

//<3573> 暗算日本記録保持者
<3573> 暗算日本記録保持者

//<3574> 通り魔
<3574> 通り魔

//<3575> 記憶ナシ男
<3575> 記憶ナシ男

//<3576> 音速
<3576> 音速

//<3577> 無限
<3577> 無限

//<3578> Horny Samurai
<3578> Horny Samurai

//<3579> Super Horny Squad Member 1
<3579> Super Horny Squad Member 1

//<3580> Horny Boy
<3580> Horny Boy

//<3581> Ugly Yuri
<3581> Ugly Yuri

//<3582> Depussy
<3582> Depussy

//<3583> Perverted American Dog
<3583> Perverted American Dog

//<3584> Zeus
<3584> Zeus

//<3585> Hinata mark II
<3585> Hinata mark II

//<3586> Dung Beetle
<3586> Dung Beetle

//<3587> Mass Produced Hinata
<3587> Mass Produced Hinata

//<3588> ？？
<3588> ？？

//<3589> 「トムヤムカレー?」
<3589> 「トムヤムカレー?」

//<3590> nothing
<3590> nothing

//<3591> nothing
<3591> nothing

//<3592> nothing
<3592> nothing

//<3593> nothing
<3593> nothing

//<3594> nothing
<3594> nothing

//<3595> Hinata
<3595> Hinata

//<3596> 男Ｂ
<3596> 男Ｂ

//<3597> Super Horny Squad Leader
<3597> Super Horny Squad Leader

//<3598> Handsome-chin
<3598> Handsome-chin

//<3599> Homota
<3599> Homota

//<3600> Hina-chin
<3600> Hina-chin

//<3601> Hideki
<3601> Hideki

//<3602> 男子生徒
<3602> 男子生徒

//<3603> ？？
<3603> ？？

//<3604> 「ああ、これも本格的で美味しいぜ?」
<3604> 「ああ、これも本格的で美味しいぜ?」

//<3605> nothing
<3605> nothing

//<3606> nothing
<3606> nothing

//<3607> nothing
<3607> nothing

//<3608> nothing
<3608> nothing

//<3609> nothing
<3609> nothing

//<3610> Hinata
<3610> Hinata

//<3611> 男Ｂ
<3611> 男Ｂ

//<3612> Super Horny Squad Leader
<3612> Super Horny Squad Leader

//<3613> Handsome-chin
<3613> Handsome-chin

//<3614> Homota
<3614> Homota

//<3615> Hina-chin
<3615> Hina-chin

//<3616> Hideki
<3616> Hideki

//<3617> 男子生徒
<3617> 男子生徒

//<3618> ？？
<3618> ？？

//<3619> 「いただきまーす」
<3619> 「いただきまーす」

//<3620> Otonashi
<3620> Otonashi

//<3621> クソ坊主
<3621> クソ坊主

//<3622> 代理人
<3622> 代理人

//<3623> 微妙すぎるイケメン
<3623> 微妙すぎるイケメン

//<3624> ロリコン
<3624> ロリコン

//<3625> メガネ仲間
<3625> メガネ仲間

//<3626> 暗算日本記録保持者
<3626> 暗算日本記録保持者

//<3627> 通り魔
<3627> 通り魔

//<3628> 記憶ナシ男
<3628> 記憶ナシ男

//<3629> 音速
<3629> 音速

//<3630> 無限
<3630> 無限

//<3631> Horny Samurai
<3631> Horny Samurai

//<3632> Super Horny Squad Member 1
<3632> Super Horny Squad Member 1

//<3633> Horny Boy
<3633> Horny Boy

//<3634> Ugly Yuri
<3634> Ugly Yuri

//<3635> Depussy
<3635> Depussy

//<3636> Perverted American Dog
<3636> Perverted American Dog

//<3637> Zeus
<3637> Zeus

//<3638> Hinata mark II
<3638> Hinata mark II

//<3639> Dung Beetle
<3639> Dung Beetle

//<3640> Mass Produced Hinata
<3640> Mass Produced Hinata

//<3641> ？？
<3641> ？？

//<3642> 「頂きます」
<3642> 「頂きます」

//<3643> nothing
<3643> nothing

//<3644> nothing
<3644> nothing

//<3645> nothing
<3645> nothing

//<3646> nothing
<3646> nothing

//<3647> nothing
<3647> nothing

//<3648> nothing
<3648> nothing

//<3649> トムヤムカレーをスプーンですくい、口に放り込み、吟味する。
<3649> トムヤムカレーをスプーンですくい、口に放り込み、吟味する。

//<3650> Otonashi
<3650> Otonashi

//<3651> クソ坊主
<3651> クソ坊主

//<3652> 代理人
<3652> 代理人

//<3653> 微妙すぎるイケメン
<3653> 微妙すぎるイケメン

//<3654> ロリコン
<3654> ロリコン

//<3655> メガネ仲間
<3655> メガネ仲間

//<3656> 暗算日本記録保持者
<3656> 暗算日本記録保持者

//<3657> 通り魔
<3657> 通り魔

//<3658> 記憶ナシ男
<3658> 記憶ナシ男

//<3659> 音速
<3659> 音速

//<3660> 無限
<3660> 無限

//<3661> Horny Samurai
<3661> Horny Samurai

//<3662> Super Horny Squad Member 1
<3662> Super Horny Squad Member 1

//<3663> Horny Boy
<3663> Horny Boy

//<3664> Ugly Yuri
<3664> Ugly Yuri

//<3665> Depussy
<3665> Depussy

//<3666> Perverted American Dog
<3666> Perverted American Dog

//<3667> Zeus
<3667> Zeus

//<3668> Hinata mark II
<3668> Hinata mark II

//<3669> Dung Beetle
<3669> Dung Beetle

//<3670> Mass Produced Hinata
<3670> Mass Produced Hinata

//<3671> ？？
<3671> ？？

//<3672> 「なんて臭さだ!!　本格的すぎるだろ!」
<3672> 「なんて臭さだ!!　本格的すぎるだろ!」

//<3673> nothing
<3673> nothing

//<3674> nothing
<3674> nothing

//<3675> nothing
<3675> nothing

//<3676> nothing
<3676> nothing

//<3677> nothing
<3677> nothing

//<3678> Hinata
<3678> Hinata

//<3679> 男Ｂ
<3679> 男Ｂ

//<3680> Super Horny Squad Leader
<3680> Super Horny Squad Leader

//<3681> Handsome-chin
<3681> Handsome-chin

//<3682> Homota
<3682> Homota

//<3683> Hina-chin
<3683> Hina-chin

//<3684> Hideki
<3684> Hideki

//<3685> 男子生徒
<3685> 男子生徒

//<3686> ？？
<3686> ？？

//<3687> 「癖は強いが慣れれば大丈夫さ」
<3687> 「癖は強いが慣れれば大丈夫さ」

//<3688> nothing
<3688> nothing

